"","Date","Open","High","Low","Close","Adj.Close","Volume"
"1","1990-06-04",0.363839,0.366071,0.354911,0.363839,0.290668,179424000
"2","1990-06-05",0.366071,0.366071,0.348214,0.352679,0.281753,299432000
"3","1990-06-06",0.348214,0.352679,0.345982,0.352679,0.281753,211747200
"4","1990-06-07",0.352679,0.354911,0.34375,0.348214,0.278186,186435200
"5","1990-06-08",0.34375,0.34375,0.334821,0.341518,0.272836,333883200
"6","1990-06-11",0.337054,0.348214,0.337054,0.348214,0.278186,157897600
"7","1990-06-12",0.34933,0.361607,0.345982,0.361607,0.288885,165032000
"8","1990-06-13",0.360491,0.363839,0.354911,0.354911,0.283536,138947200
"9","1990-06-14",0.357143,0.359375,0.350446,0.354911,0.283536,140324800
"10","1990-06-15",0.354911,0.357143,0.34933,0.352679,0.281753,144144000
"11","1990-06-18",0.350446,0.352679,0.348214,0.350446,0.279969,111395200
"12","1990-06-19",0.348214,0.354911,0.342634,0.353795,0.282644,157225600
"13","1990-06-20",0.356027,0.359375,0.354911,0.357143,0.285319,154739200
"14","1990-06-21",0.357143,0.375,0.357143,0.373884,0.298693,208600000
"15","1990-06-22",0.375,0.38058,0.368304,0.370536,0.296018,283976000
"16","1990-06-25",0.370536,0.372768,0.359375,0.368304,0.294235,122001600
"17","1990-06-26",0.372768,0.375,0.360491,0.362723,0.289777,127254400
"18","1990-06-27",0.363839,0.375,0.359375,0.370536,0.296018,97227200
"19","1990-06-28",0.381696,0.386161,0.372768,0.383929,0.306718,249939200
"20","1990-06-29",0.383929,0.40067,0.381696,0.399554,0.319201,325192000
"21","1990-07-02",0.397321,0.397321,0.390625,0.392857,0.313851,135408000
"22","1990-07-03",0.391741,0.397321,0.390625,0.392857,0.313851,99500800
"23","1990-07-05",0.390625,0.395089,0.386161,0.388393,0.310284,107464000
"24","1990-07-06",0.388393,0.401786,0.386161,0.399554,0.319201,209059200
"25","1990-07-09",0.401786,0.419643,0.399554,0.416295,0.332575,315459200
"26","1990-07-10",0.419643,0.424107,0.417411,0.419643,0.33525,361424000
"27","1990-07-11",0.417411,0.419643,0.408482,0.419643,0.33525,246153600
"28","1990-07-12",0.417411,0.424107,0.415179,0.422991,0.337924,182470400
"29","1990-07-13",0.424107,0.426339,0.417411,0.417411,0.333466,230977600
"30","1990-07-16",0.417411,0.420759,0.404018,0.407366,0.325442,179704000
"31","1990-07-17",0.408482,0.410714,0.392857,0.395089,0.315634,136852800
"32","1990-07-18",0.397321,0.401786,0.383929,0.398438,0.318309,288366400
"33","1990-07-19",0.363839,0.379464,0.357143,0.372768,0.297802,585984000
"34","1990-07-20",0.375,0.379464,0.363839,0.366071,0.292451,191844800
"35","1990-07-23",0.366071,0.372768,0.357143,0.370536,0.296018,270188800
"36","1990-07-24",0.375,0.377232,0.366071,0.376116,0.300476,193916800
"37","1990-07-25",0.375,0.386161,0.372768,0.377232,0.301368,104921600
"38","1990-07-26",0.377232,0.379464,0.366071,0.36942,0.295127,80337600
"39","1990-07-27",0.368304,0.372768,0.361607,0.36942,0.295127,62316800
"40","1990-07-30",0.363839,0.379464,0.363839,0.378348,0.302259,85456000
"41","1990-07-31",0.379464,0.381696,0.370536,0.375,0.299585,96006400
"42","1990-08-01",0.375,0.381696,0.370536,0.378348,0.302259,93508800
"43","1990-08-02",0.368304,0.390625,0.368304,0.388393,0.310284,223126400
"44","1990-08-03",0.388393,0.390625,0.354911,0.368304,0.294235,268968000
"45","1990-08-06",0.348214,0.361607,0.34375,0.352679,0.281753,179659200
"46","1990-08-07",0.359375,0.362723,0.345982,0.352679,0.281753,198531200
"47","1990-08-08",0.352679,0.363839,0.352679,0.358259,0.28621,102536000
